title,platform,language,released,popularity,rating,total_rating_user
Tokeijikake no Ley Line -Tasogaredoki no Kyoukaisen-,"PlayStation Vita,Windows","Chinese,Japanese,English",2012-07-27,9.85,7.15,926
Analogue: A Hate Story,"Linux,Mac OS,Windows","Chinese,Russian,Korean,Japanese,English,German",2012-01-31,9.84,7.11,1260
Fault Milestone One,"Linux,Mac OS,PlayStation 4,Nintendo Switch,Windows","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,French,Spanish,English,German",2013-08-12,9.83,7.31,1147
Quartett!,"PlayStation 2,Windows","Chinese,Vietnamese,Russian,Japanese,English",2004-04-23,9.83,7.15,915
Zettai Saikyou ☆ Oppai Sensou!! ~Kyonyuu Oukoku vs Hinnyuu Oukoku~,"Android,Blu-ray Player,DVD Player,Windows","Japanese,Spanish,English",2012-10-26,9.83,6.93,1038
9 -Nine- Kokonotsu Kokonoka Kokonoiro,Windows,"Chinese,Korean,Japanese,Indonesian,Spanish,English",2017-04-28,9.82,7.3,1091
Boku to Koi Suru Ponkotsu Akuma.,"Android,Windows","Chinese,Japanese,Spanish,English",2015-09-25,9.78,7.15,1028
Maitetsu,"PlayStation 4,Nintendo Switch,Website,Windows","Chinese,Korean,Japanese,Spanish,English",2016-03-25,9.64,7.73,947
Gyakuten Kenji 2,"Android,Apple iProduct,Nintendo DS","Chinese,Japanese,Spanish,English",2011-02-03,9.55,8.31,939
Discipline -The Record of a Crusade-,"Android,DVD Player,Windows","Chinese,Russian,Japanese,English",2002-08-30,9.49,6.55,1125
Riddle Joker,Windows,"Chinese,Korean,Japanese,English",2018-03-30,9.47,7.84,929
Sekai de Ichiban Dame na Koi,"PlayStation Portable,Windows","Chinese,Korean,Japanese,English",2007-11-22,9.28,7.62,702
9 -Nine- Sorairo Sorauta Soranooto,Windows,"Chinese,Korean,Japanese,English",2018-04-27,9.25,7.85,855
Canvas 2 ~Akaneiro no Palette~,"DVD Player,Apple iProduct,PlayStation 2,Windows","Japanese,English",2004-04-23,9.22,6.85,979
Higanbana no Saku Yoru ni - Dai Ichi Ya,"Android,Mac OS,Nintendo 3DS,Windows","Chinese,Russian,Japanese,French,Spanish,English",2011-08-13,9.16,7.26,1016
Hinatabokko,"DVD Player,Windows","Russian,Japanese,English",2004-07-23,9.14,6.54,1151
Sono Hanabira ni Kuchizuke o: Anata to Koibito Tsunagi,"Linux,Mac OS,VNDS,Windows","Chinese,Russian,Portuguese (Brazil),Polish,Korean,Japanese,Spanish,English",2007-07-14,9.05,7.06,1005
Go! Go! Nippon! ~My First Trip to Japan~,Windows,"Chinese,Russian,Japanese,English,German",2011-09-30,8.96,6.26,1347
Starless,"DVD Player,Windows","Chinese,Japanese,English",2011-05-27,8.96,6.92,1053
Juniper's Knot,"Android,Apple iProduct,Linux,Mac OS,Windows","Chinese,Turkish,Russian,Portuguese (Portugal),Polish,Italian,Indonesian,Spanish,English,German",2012-04-12,8.93,7.1,1072
Hatoful Kareshi  ~Kibou no Gakuen to Shiroi Tsubasa~,"Android,Apple iProduct,Linux,Mac OS,PlayStation 4,PlayStation Vita,Windows","Russian,Korean,Japanese,Italian,French,Spanish,English,German",2011-07-31,8.85,7.18,1107
DRAMAtical Murder,"PlayStation Vita,Website,Windows","Chinese,Russian,Korean,Japanese,Spanish,English",2012-03-23,8.83,7.86,1235
"Miagete Goran, Yozora no Hoshi o",Windows,"Chinese,Japanese,English",2015-12-18,8.78,7.86,824
Bunny Black 2,Windows,"Chinese,Japanese,English",2012-01-27,8.73,7.52,815
Newton to Ringo no Ki,Windows,"Chinese,Japanese,English",2017-05-26,8.68,7.35,855
Tsukihime Plus-Disc,"VNDS,Windows","Chinese,Russian,Korean,Japanese,Italian,Spanish,English",2001-02,8.63,6.69,1261
D.C. III ~Da Capo III~,"Linux,Mac OS,PlayStation Portable,Windows","Japanese,English",2012-04-27,8.53,7.45,812
Zombie no Afureta Sekai de Ore Dake ga Osowarenai,Windows,"Chinese,Japanese,English",2015-02-20,8.53,7.25,825
Hatsuyuki Sakura,"Android,Apple iProduct,PlayStation 4,PlayStation Vita,Windows","Chinese,Korean,Japanese,Spanish",2012-02-24,8.46,8.1,654
Soukou Akki Muramasa,Windows,"Chinese,Korean,Japanese",2009-10-30,8.35,8.69,614
"Watashi ga Suki nara ""Suki"" tte Itte!",Windows,"Japanese,English",2015-10-30,8.35,7.36,852
Corpse Party: Book of Shadows,"Apple iProduct,PlayStation Portable,Windows","Chinese,Russian,Japanese,Italian,English",2011-09-01,8.34,7.15,999
Lucy - Geunyeoga Baladeon Geos -,"Android,Apple iProduct,Windows","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,Indonesian,French,Spanish,English",2010,8.33,7.49,978
D.S. -Dal Segno-,"Android,PlayStation 4,PlayStation Vita,Windows","Japanese,English",2016-04-28,8.22,6.94,917
Rose Guns Days,"Android,Apple iProduct,Mac OS,Windows","Chinese,Russian,Japanese,Spanish,English",2012-08-11,8.19,8.07,741
Soul Link,"PlayStation 2,Windows","Korean,Japanese,English",2004-12-17,8.14,6.61,863
Mahoutsukai no Yoru,Windows,"Chinese,Vietnamese,Russian,Korean,Japanese,Italian,French,English",2012-04-12,8.05,8.31,740
Ourai no Gahkthun ~What a Shining Braves~,"Android,Apple iProduct,Windows","Chinese,Japanese,English",2012-12-21,8.03,7.43,671
Otome wa Boku ni Koishiteru,"PlayStation 2,PlayStation Portable,Website,Windows","Chinese,Japanese,English",2005-01-28,8.02,6.91,753
Never7 -The End of Infinity-,"Android,Dreamcast,Apple iProduct,Linux,Mac OS,PlayStation 1,PlayStation 2,PlayStation Portable,VNDS,Windows","Chinese,Russian,Japanese,English",2000-03-23,7.98,6.8,924
Gyakuten Saiban 6,"Android,Apple iProduct,Nintendo 3DS","Chinese,Korean,Japanese,English",2016-06-09,7.91,7.7,887
Duel Savior,"PlayStation 2,Windows","Japanese,English",2004-10-01,7.88,7.32,711
Tokyo Babel,Windows,"Japanese,English",2012-08-31,7.86,7.43,682
Flowers -Le Volume sur Printemps-,"PlayStation 4,PlayStation Portable,PlayStation Vita,Nintendo Switch,Windows","Chinese,Russian,Japanese,Spanish,English",2014-04-18,7.77,7.54,790
Hakuouki ~Shinsengumi Kitan~,"Android,Apple iProduct,Nintendo 3DS,Nintendo DS,PlayStation 2,PlayStation 3,PlayStation 4,PlayStation Portable,PlayStation Vita,Nintendo Switch,Windows","Chinese,Vietnamese,Korean,Japanese,Spanish,English",2008-09-18,7.76,7.9,844
Fault Milestone 2 Jou (Side: Above),"Linux,Mac OS,Nintendo Switch,Windows","Chinese,Russian,Korean,Japanese,Spanish,English,German",2015-08-16,7.75,7.76,771
True Love ~Jun'ai Monogatari~,"PC-98,Website,Windows","Russian,Portuguese (Brazil),Japanese,Spanish,English,German",1995-06-09,7.75,6.93,922
Wind -A Breath of Heart-,"Dreamcast,PlayStation 2,Windows","Chinese,Korean,Japanese,English",2002-04-19,7.69,6.65,876
Katahane,"DVD Player,PlayStation Vita,Windows","Chinese,Russian,Japanese,English",2006-08-25,7.68,7.3,698
Sakura no Uta -Sakura no Mori no Ue o Mau-,Windows,"Chinese,Korean,Japanese,Spanish",2015-10-23,7.58,8.65,567
Sono Hanabira ni Kuchizuke o: Watashi no Ouji-sama,"Linux,Mac OS,VNDS,Windows","Chinese,Russian,Portuguese (Brazil),Polish,Japanese,Spanish,English",2007-05-29,7.51,6.58,975
Nora to Oujo to Noraneko Heart,"PlayStation 4,PlayStation Vita,Nintendo Switch,Windows","Chinese,Japanese,English",2016-02-26,7.5,7.55,580
To Heart 2,"PlayStation 2,PlayStation 3,PlayStation Portable,Windows","Chinese,Korean,Japanese,English",2004-12-28,7.48,7.26,667
Sorcery Jokers,"Android,Apple iProduct,Windows","Japanese,English",2015-07-24,7.47,7.43,653
Goshujin-sama Da~isuki,"Website,Windows","Japanese,English",2008-01-25,7.46,6.34,819
Phantom of Inferno,"DVD Player,Mac OS,PlayStation 2,Website,Windows,Xbox 360","Chinese,Korean,Japanese,English",2000-02-25,7.31,7.83,570
Fortune Arterial,Windows,"Chinese,Korean,Japanese,English",2008-01-25,7.23,7.36,652
Karakara,Windows,"Chinese,Russian,Japanese,Spanish,English,German",2016-06-27,7.23,6.36,960
Minna Daisuki Kozukuri Banchou,Windows,"Japanese,English",2007-05-18,7.19,6.55,800
Fata morgana no Yakata -Another Episodes-,"PlayStation 4,PlayStation Vita,Windows","Chinese,Russian,Japanese,English",2015-08-16,7.17,8.17,657
Imouto Paradise! 2 ~Onii-chan to Go nin no Imouto no Motto! Ecchi Shimakuri na Mainichi~,"Android,DVD Player,Apple iProduct,Windows","Japanese,English",2013-05-31,7.15,6.94,706
Wish Room: Tenshi no Kioku,Nintendo DS,"Chinese,Japanese,Italian,French,Spanish,English,German",2007-01-22,7.14,7.6,803
Maji de Watashi ni Koishinasai! A-3,Windows,"Japanese,English",2014-02-28,6.99,7.72,625
Gimai - Hitomi,Windows,"Japanese,English",2004-01-30,6.98,5.58,1074
Forest,Windows,"Chinese,Russian,Japanese,English",2004-02-13,6.97,7.36,581
Harmonia,Windows,"Chinese,Russian,Korean,Japanese,Spanish,English",2016-09-23,6.95,7.08,752
I/O,"PlayStation 2,Windows","Chinese,Japanese,English",2006-01-26,6.93,7.49,622
Higanbana no Saku Yoru ni - Dai Ni Ya,"Android,Mac OS,Windows","Chinese,Russian,Japanese,English",2011-12-31,6.92,7.35,714
Soukoku no Arterial,Windows,"Chinese,Japanese,English",2012-04-27,6.9,7.88,566
Kira☆Kira Curtain Call,"Website,Windows","Japanese,English",2008-08-14,6.85,6.67,807
Angel Beats! -1st beat-,Windows,"Chinese,Russian,Korean,Japanese,English",2015-06-26,6.8,7.84,684
428 ~Fuusa Sareta Shibuya de~,"Android,Apple iProduct,PlayStation 3,PlayStation 4,PlayStation Portable,Nintendo Wii,Windows","Chinese,Korean,Japanese,English",2008-12-04,6.79,8.21,627
Akatsuki no Goei,"PlayStation 3,PlayStation Portable,Windows","Chinese,Vietnamese,Russian,Korean,Japanese,Hungarian,English",2008-03-27,6.73,7.48,536
Magical Marriage Lunatics!!,"Android,DVD Player,Apple iProduct,Windows","Japanese,English",2013-09-27,6.72,6.94,753
Sono Hanabira ni Kuchizuke o: Anata o Suki na Shiawase,"VNDS,Windows","Chinese,Portuguese (Brazil),Japanese,Spanish,English",2008-07-25,6.67,7.16,685
Osananajimi wa Daitouryou ~My Girlfriend is the President.~ Fandisc,Windows,"Japanese,English",2010-08-13,6.62,6.75,749
Divi-Dead,"Dreamcast,PlayStation Portable,Website,Windows,Xbox","Portuguese (Brazil),Japanese,Spanish,English",1998-01-23,6.59,6.61,759
RE: Alistair,"Android,Linux,Mac OS,Windows","Chinese,Russian,Portuguese (Brazil),Spanish,English,German",2010-02-28,6.58,6.71,895
One ~Kagayaku Kisetsu e~,"Android,PlayStation 1,Website,Windows","Chinese,Korean,Japanese,Spanish,English",1998-06-26,6.57,6.9,722
ChuSinGura 46+1,"Mac OS,PlayStation Vita,Windows","Japanese,English",2013-05-31,6.55,8.05,459
9 -Nine- Haruiro Harukoi Harunokaze,Windows,"Chinese,Korean,Japanese,English",2019-04-26,6.53,7.8,557
Ochiru Hitozuma,Windows,"Japanese,English",2011-12-23,6.52,7.46,591
Brave Soul,Windows,"Russian,Japanese,English",2001-03-30,6.43,6.76,695
Oppai Sensou - Kyonyuu VS Hinnyuu -,"DVD Player,Windows","Japanese,English",2010-08-27,6.43,5.72,970
