title,platform,language,released,popularity,rating,total_rating_user
Hoshizora no Memoria -Wish upon a Shooting Star-,Windows,"Chinese,Korean,Japanese,Spanish,English",2009-03-27,40.41,7.81,4575
Sengoku Rance,"Website,Windows","Chinese,Russian,Korean,Japanese,English",2006-12-15,40.14,8.32,4164
Subarashiki Hibi ~Furenzoku Sonzai~,Windows,"Chinese,Russian,Korean,Japanese,Spanish,English",2010-03-26,37.89,8.6,3656
"Kono Oozora ni, Tsubasa o Hirogete","Android,Apple iProduct,PlayStation 3,PlayStation Vita,Nintendo Switch,Windows","Chinese,Russian,Japanese,English",2012-05-25,36.35,7.71,4333
Maji de Watashi ni Koishinasai! S,Windows,"Japanese,Spanish,English",2012-01-27,35.35,8.15,3570
Cross†Channel,"Android,Game Boy Advance,Apple iProduct,Linux,Mac OS,PlayStation 2,PlayStation 3,PlayStation Portable,PlayStation Vita,Nintendo Switch,VNDS,Website,Windows,Xbox 360","Chinese,Russian,Korean,Japanese,English",2003-09-26,35.23,7.82,3582
Utawarerumono,"Android,Apple iProduct,PlayStation 2,PlayStation 4,PlayStation Portable,PlayStation Vita,Windows","Chinese,Russian,Korean,Japanese,Spanish,English",2002-04-26,34.62,7.86,3600
Chaos;Head,Windows,"Chinese,Russian,Korean,Japanese,Spanish,English",2008-04-25,34.54,7.37,4508
Narcissu,"Android,Apple iProduct,Linux,Mac OS,Nintendo DS,PlayStation Portable,VNDS,Website,Windows","Chinese,Vietnamese,Russian,Portuguese (Brazil),Polish,Korean,Japanese,Italian,Hungarian,French,Spanish,English,German",2005-08-02,33.79,7.48,4321
Gyakuten Saiban 3,"Android,Game Boy Advance,Apple iProduct,Nintendo 3DS,Nintendo DS,PlayStation 4,Nintendo Switch,Nintendo Wii,Windows,Xbox One","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,French,Spanish,English,German",2004-01-23,33.41,8.54,3488
Neko Para Vol.1 Soleil Kaiten Shimashita!,"Android,Apple iProduct,PlayStation 4,Nintendo Switch,Website,Windows","Chinese,Vietnamese,Russian,Korean,Japanese,Italian,Spanish,English,German",2014-12-29,30.82,6.89,4735
Steins;Gate 0,"PlayStation 3,PlayStation 4,PlayStation Vita,Nintendo Switch,Website,Windows,Xbox One","Chinese,Russian,Korean,Japanese,Spanish,English",2015-12-10,30.53,8.09,3637
Grisaia no Meikyuu -Le Labyrinthe de la Grisaia-,"PlayStation Portable,PlayStation Vita,Nintendo Switch,Windows","Korean,Japanese,English",2012-02-24,30.34,8.05,2960
Higurashi no Naku Koro ni Kai,"Android,Apple iProduct,Linux,Mac OS,Nintendo DS,PlayStation 2,PlayStation 3,PlayStation 4,PlayStation Vita,Nintendo Switch,VNDS,Windows","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,French,English",2004-12-30,30.27,8.68,3053
Kyokugen Dasshutsu ADV - Zennin Shibou Desu,"Nintendo 3DS,PlayStation 4,PlayStation Vita,Windows","Chinese,Japanese,Spanish,English",2012-02-16,29.38,8.28,3337
Gyakuten Saiban 2,"Android,Game Boy Advance,Apple iProduct,Nintendo 3DS,Nintendo DS,PlayStation 4,Nintendo Switch,Nintendo Wii,Windows,Xbox One","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,French,Spanish,English,German",2002-10-22,28.91,7.6,3786
New Dangan Ronpa V3 Minna no Koroshiai Shingakki,"PlayStation 4,PlayStation Vita,Windows","Chinese,Korean,Japanese,French,English",2017-01-12,28.2,8.01,3471
Monmusu Quest! Zenshou ~Makereba Youjo ni Okasareru~,"Android,Linux,Mac OS,Windows","Chinese,Russian,Japanese,Italian,Spanish,English",2011-03-09,27.77,7.6,3318
Fate/Hollow Ataraxia,"Other,PlayStation Portable,PlayStation Vita,Windows","Chinese,Russian,Korean,Japanese,Italian,Spanish,English",2005-10-28,26.1,7.95,3052
Osananajimi wa Daitouryou: My Girlfriend is the President.,Windows,"Chinese,Vietnamese,Japanese,Spanish,English",2009-10-30,25.5,7.1,3095
Monmusu Quest! Chuushou ~Makereba Youjo ni Okasareru~,"Android,Linux,Mac OS,Windows","Chinese,Russian,Japanese,Spanish,English",2011-12-17,25.29,7.98,2720
Fata morgana no Yakata,"Android,Apple iProduct,Nintendo 3DS,PlayStation 4,PlayStation Vita,Windows","Chinese,Russian,Japanese,Italian,French,Spanish,English",2012-12-27,25.17,8.78,2387
Kanon,"Android,Blu-ray Player,Dreamcast,Apple iProduct,Other (mobile),PlayStation 2,PlayStation Portable,PlayStation Vita,Windows,Sharp X1","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,French,Spanish,English",1999-06-04,25.13,7.66,2760
Dracu-Riot!,Windows,"Chinese,Korean,Japanese,English",2012-03-30,25.01,7.77,2562
